Key,English Value,Kurdish Translation
Card_Info_Secure_Stripe,Your card information is securely processed by Stripe,زانیارییەکانی کارتەکەت بە شێوەیەکی پارێزراو لەلایەن Stripe ەوە پرۆسێس دەکرێت
Cash In,Cash In,کاش لە
Cash Out,Cash Out,کاش ئاوت
Cashier,Cashier,کاشێر
Cash_Flow_Report,Cash Flow Report,ڕاپۆرتی ڕۆیشتنی پارە
Cash_Register_Report,Cash Register Report,ڕاپۆرتی تۆمارکردنی پارە
Categorie,Category,جۆر
Categories,Category,جۆر
Category,Category,جۆر
Category_is_required,Category is required,پۆل پێویستە
Change,Change,گوڕین
ChangeAvatar,Change Avatar,گۆڕینی ئاڤاتاری
ChangeFavicon,Change Favicon,گۆڕینی فاڤیکۆن
ChangeLogo,Change Logo,گۆڕینی لۆگۆ
ChangeReturn,Change Return,گۆڕینی گەڕانەوە
Change_product_details,Change product details,گۆڕینی وردەکارییەکانی بەرهەم
Chart_of_Accounts_Link,Chart of Accounts,چارتی ئەکاونتەکان
Chart_of_Accounts_Subtitle,Manage your GL structure with parent/child relationships.,
Chart_of_Accounts_Title,Chart of Accounts,چارتی ئەکاونتەکان
ChooseProduct,Choose Product,بەرهەم هەڵبژێرە
ChooseWarehouse,Choose Warehouse,کۆگا هەڵبژێرە
Choose_Account,Choose Account,ئەکاونت هەڵبژێرە
Choose_Base_Unit,Choose Base Unit,یەکەی بنەڕەتی هەڵبژێرە
Choose_Brand,Choose Brand,براند هەڵبژێرە
Choose_Category,Choose Category,پۆل هەڵبژێرە
Choose_Company,Choose Company,کۆمپانیا هەڵبژێرە
Choose_Currency,Choose Currency,دراو هەڵبژێرە
Choose_Customer,Choose Customer,کڕیار هەڵبژێرە
Choose_Department_Head,Choose Department Head,سەرۆکی بەشەکان هەڵبژێرە
Choose_Designation,Choose Designation,دەستنیشانکردن هەڵبژێرە
Choose_Employee,Choose Employee,کارمەند هەڵبژێرە
Choose_Family_status,Choose Family status,دۆخی خێزان هەڵبژێرە
Choose_Gateway,Choose SMS Gateway,SMS Gateway هەڵبژێرە
Choose_Gender,Choose Gender,ڕەگەز هەڵبژێرە
Choose_Interval,Choose interval,ئینتەرڤاڵ هەڵبژێرە
Choose_leave_type,Choose leave type,جۆری مۆڵەت هەڵبژێرە
Choose_Method,Choose Method,شێواز هەڵبژێرە
Choose_Office_Shift,Choose Office Shift,ئۆفیس شیفت هەڵبژێرە
Choose_Operator,Choose Operator,ئۆپەراتۆر هەڵبژێرە
Choose_Project,Choose Project,پرۆژە هەڵبژێرە
Choose_Purchase_Ref,Choose Purchase Ref,کڕین هەڵبژێرە Ref
Choose_Sale_Ref,Choose Sale Ref,فرۆشتن هەڵبژێرە Ref
Choose_SMS_Gateway,Choose SMS Gateway,SMS Gateway هەڵبژێرە
Choose_Status,Choose status,دۆخ هەڵبژێرە
Choose_Sub_Category,Choose SubCategory,subcategory هەڵبژێرە
Choose_Supplier,Choose Supplier,دابینکەر هەڵبژێرە
Choose_Symbology,Choose symbology,هێما هەڵبژێرە
Choose_Team,Choose Team,تیم هەڵبژێرە
Choose_Unit_Product,Choose Product Unit,یەکەی بەرهەم هەڵبژێرە
Choose_Unit_Purchase,Choose Purchase Unit,یەکەی کڕین هەڵبژێرە
Choose_Unit_Sale,Choose Sale Unit,یەکەی فرۆشتن هەڵبژێرە
Choose_Warehouse,Choose Warehouse,کۆگا هەڵبژێرە
City,City,شار
clear,Clear,ڕوون
Clear_all,Clear all,هەمووی پاک بکەرەوە
Clear_Cache,Clear Cache,Clear Cache
Clear_Logs,Clear Logs,لۆگەکانی ڕوون
Clear_Selection,Clear Selection,هەڵبژاردنی ڕوون
Click_Generate_New_Token_to_create,Click Generate New Token to create your customer display URL and QR code,کلیک لە Generate New Token بکە بۆ دروستکردنی URL ی پیشاندانی کڕیارەکەت و کۆدی QR
Click_input_to_select_then_use_copy_button,"Click the input to select, then use the Copy button",بۆ هەڵبژاردنی کلیک لە ئینپوتەکە بکە، پاشان دوگمەی Copy بەکاربهێنە
Client,Client,کلایەنت
Clients,clients,مشتەرییەکان
Clients_Sync,Clients Sync,مشتەرییەکان هاوکات دەبن
Client_ID,Client ID,ناسنامەی مشتەری
Client_Secret,Client Secret,نهێنی موکل
Client_sync_attempted,Client sync attempted,مشتەری هاوکات هەوڵی بۆ دراوە
Client_sync_failed,Client sync failed,هاوکاتکردنی موکل شکستی هێنا
Close,Close,داخستن
Close Register,Close Register,داخستنی تۆمار
Closed,Closed,داخراوە
Closing,Closing,داخستنی
Closing_Notes,Closing Notes,تێبینییەکانی کۆتایی
Code,Code,کۆد
Codecategorie,Category Code,کۆدی پۆل
CodeProduct,Code Product,کۆدی بەرهەم
code_must_be_not_exist_already,code must be not exist already,کۆدەکان دەبێ پێشتر بوونیان نەبێت
Collection,Collection,کۆکردنەوە
Collections,Collections,کۆکراوەکان
Collection_Details,Collection Details,وردەکارییەکانی کۆکردنەوە
Collection_saved_but_products_not_synced,"Collection saved, but products could not be synced.",کۆکردنەوە پاشەکەوت کرا، بەڵام بەرهەمەکان نەدەکرا هاوکات بکرێن.
ComboProduct,Combo Product,بەرهەمی کۆمبۆ
ComboProducts,Combo Products,بەرهەمەکانی کۆمبۆ
Comma_separated_cutoffs_default,"Comma-separated cutoffs, default",بڕینی جیاکراوەی کۆما، بە شێوەیەکی پێشوەختە
Company,Company,کۆمپانیا
CompanyAdress,Company Address,ناونیشانی کۆمپانیا
CompanyName,Company Name,ناوی کۆمپانیا
CompanyNameArabic,Company Name (Arabic),ناوی کۆمپانیا (عەرەبی)
CompanyPhone,Company Phone,تەلەفۆنی کۆمپانیا
Company_Info,Company Info,زانیاری کۆمپانیا
Company_Name,Company Name,ناوی کۆمپانیا
complete,Completed,تەواو بووە
Completed,Completed,تەواو بووە
Complete_Lines_Message,Please complete required fields on lines,تکایە مەیدانە پێویستەکان لەسەر هێڵەکان تەواو بکە
Complete_Payment,Complete Payment,پارەدانی تەواو
Confirm,Confirm,دڵنیاکردنەوە
confirmed,confirmed,پشتڕاستکراوەتەوە
Confirm_Clear_All,Are you sure you want to clear all selected products?,ئایا دڵنیای کە دەتەوێت هەموو بەرهەمە هەڵبژێردراوەکان پاک بکەیتەوە؟
Confirm_Delete_This_Item,Are you sure you want to delete this item?,ئایا دڵنیای کە دەتەوێت ئەم بابەتە بسڕیتەوە؟
Confirm_password,Confirm password,وشەی نهێنی پشتڕاست بکەرەوە
Confirm_this_order_Q,Confirm this order?,ئەم داواکارییە پشتڕاست بکەرەوە؟
Confirm_to_sale_hint,This will convert the online order into a Sale and deduct stock.,بەم شێوەیە داواکاری ئۆنلاین دەگۆڕێت بۆ فرۆشتن و کۆگاکە دەبڕێت.
Connect,Connect,گرێدان
Connected,Connected,بەستراوە
Connection,Connection,پەیوەندی
Connection_failed,Connection failed,پەیوەندی شکستی هێنا
Connection_Status,Connection status,دۆخی پەیوەندی
Connection_successful,Connection successful,پەیوەندی سەرکەوتوو
Connect_to_QuickBooks,Connect to QuickBooks,پەیوەندی بە QuickBooks
Connect_to_QuickBooks_first,Connect to QuickBooks first,پەیوەندی بە کویکبووکسەوە بکە سەرەتا
Consumer_Key,Consumer Key,کلیلی بەکاربەر
Consumer_Secret,Consumer Secret,نهێنی بەکاربەر
Contact,Contact,پەیوەندی
Contact_Address,Contact address,ناونیشانی پەیوەندی
Contact_Email,Contact email,پەیوەندی ئیمەیڵ
Contact_Phone,Contact phone,پەیوەندی تەلەفۆنی
Context,Context,سیاق
Convert,Convert,گۆڕین
Converted,Converted,گۆڕدراو
Copied_to_clipboard,Copied to clipboard,کۆپی کراوە بۆ کلیپبۆرد
Copy,Copy,کۆپی
Copy_to_clipboard,Copy to clipboard,کۆپی بکە بۆ کلیپبۆرد
Cost,Cost,تێچوو
couldNotFind,"We could not find the page you were looking for.Meanwhile, you may",ئێمە نەمانتوانی ئەو پەیجە بدۆزینەوە کە تۆ بەدوایدا دەگەڕایت.
Could_not_save_order,Could not save the order.,نەیتوانی فەرمانەکە پاشەکەوت بکات.
Count,Count,گێرانەوە
Counted_Cash,Counted Cash,ژماردنی کاش
Country,Country,وڵات
CountStock,Count Stock,ژمارەی ستۆک
Create,Create,دروستکردن
CreateAdjustment,Create Adjustment,دروستکردنی ڕێکخستن
Created_by,Added by,زیادکراوە لەلایەن
Created_in_successfully,Created in successfully,لە سەرکەوتوویی دروستکراوە
CreatePurchaseReturn,Create Purchase Return,دروستکردنی گەڕانەوەی کڕین
CreateReturnCustomer,Create Return Customer,دروستکردنی کڕیاری گەڕانەوە
CreateReturnSupplier,Create Return Supplier,دروستکردنی دابینکەری گەڕانەوە
CreateSale,Create Sale,دروستکردنی فرۆشتن
CreateSaleReturn,Create Sale Return,دروستکردنی فرۆشتن
CreateTransfer,Create Transfer,دروستکردنی گواستنەوە
Create_an_account,Create an account,دروستکردنی ئەکاونت
Create_a_new_product_with_all_details,Create a new product with all details,بەرهەمێکی نوێ دروست بکە بە هەموو وردەکارییەکانەوە
Create_Damage,Create Damage,دروستکردنی زیان
Create_deposit,Create deposit,دروستکردنی دانەوێڵە
Create_Expense,Create Expense,دروستکردنی خەرجیی
Create_from_WordPress_Profile,Create from WordPress Profile,لە پرۆفایلی وردپرێسەوە دروستی بکە
Create_Permission,Create Permission,دروستکردنی مۆڵەت
Create_Project,Create Project,دروستکردنی پرۆژە
Create_Quotation_with_Stock,Create Quotation with Stock,دروستکردنی وەرگێڕان لەگەڵ ستۆک
Create_secure_token_info,Create a secure token for your customer display. Tokens expire in 24 hours for security.,تۆکنێکی پارێزراو بۆ شاشەی کڕیارەکانت دروست بکە. تۆکنەکان لە ٢٤ کاتژمێردا بەسەر دەچن بۆ ئاسایش.
Create_Susbscription,Create Susbscription,دروستکردنی susbscription
Create_Task,Create Task,دروستکردنی ئەرک
Create_Transfer,Create Transfer,دروستکردنی گواستنەوە
Credit,Credit,کرێدیت
Credit_Card,Credit Card,کارتی بانکیی
credit_card_account_not_available,Credit card account not available,ئەژمێری کارتی بانکیی بەردەست نییە
Credit_card_changed_successfully,Credit card changed successfully,کارتی بانکیی بە سەرکەوتوویی گۆڕدرا
Credit_Card_Info,Credit card info,زانیاری کارتی بانکیی
Currencies,Currency,دراو
Currency,Currency,دراو
CurrencyCode,Currency Code,کۆدی دراو
CurrencyName,Currency Name,ناوی دراو
CurrentStock,Stock,کەرەستە
Current_stock,Current Stock,کۆگاکانی ئێستا
Current_Version,Current Version,وەشانی ئێستا
Customer,Customer,کڕیار
CustomerCode,Customer Code,کۆدی کڕیار
CustomerDetails,Customer Details,وردەکارییەکانی کڕیار
CustomerManagement,Customer Management,بەڕێوەبردنی کڕیار
CustomerName,Customer Name,ناوی کڕیار
CustomerPaiementsReport,Customer Payments Report,ڕاپۆرتی پارەدانی کڕیار
CustomerQuotationsReport,Customer Quotations Report,ڕاپۆرتی وەرگێڕانی کڕیار
Customers,Customers,کڕیاران
CustomerSalesReport,Customer Sales Report,ڕاپۆرتی فرۆشتنی کڕیار
CustomersList,Customers,کڕیاران
CustomersReport,Customers Report,ڕاپۆرتی کڕیاران
Customers_without_ecommerce_notice,customers not having an account in the online store.,ئەو کڕیارانەی لە فرۆشگای ئۆنلاین ئەکاونتیان نییە.
Customer_Credit_Note,Customer Credit Note,تێبینی قەرزی کڕیار
Customer_details,Customer Details,وردەکارییەکانی کڕیار
Customer_Display_Configuration,Customer Display Configuration,ڕێکخستنی پیشاندانی کڕیار
Customer_Display_Configuration_Subtitle,Set up and manage your customer-facing display for the POS system,ڕێکخستن و بەڕێوەبردنی شاشەی ڕووبەڕووی کڕیارەکەت بۆ سیستەمی POS
Customer_Info,Customer Info,زانیاری کڕیار
Customer_Invoice,Customer Invoice,فاکتورەی کڕیار
Customer_Ledger,Customer Ledger,کڕیاری سەرەکی
Customer_Loyalty_Points_Report,Customer Loyalty Points Report,ڕاپۆرتی خاڵەکانی دڵسۆزی کڕیار
Customer_Provider,Customer/Provider,
Customer_Screen,Customer Screen,شاشەی کڕیار
CustomRange,Custom range,مەودای تایبەت
CustomUpload,Custom Upload,بارکردنی تایبەت
Daily,Daily,ڕۆژانە
DailyPurchasesData,Daily Purchases Data,داتاکانی کڕینی ڕۆژانە
DailySalesData,Daily Sales Data,داتاکانی فرۆشتنی ڕۆژانە
dailySalesPurchases,Daily Sales & Purchases,فرۆشتنی ڕۆژانە و کڕین
Damages,Damages,زیانەکان
Damage_Detail,Damage Detail,وردەکاری زیان
dashboard,Dashboard,داشبۆرد
date,Date,ڕێکەوت
DateRange,Date range,مەودای بەروار
Day,Day,ڕۆژ
Days,days,ڕۆژان
DaysInactive,Days inactive,ڕۆژانی ناچالاک
DaysSinceLastMovement,Days since last movement,ڕۆژەکان لە دوایین جووڵەوە
DaysSinceLastSale,Days since last sale,ڕۆژان لە دوایین فرۆشتنەوە
Dead_Stock_Report,Dead Stock Report,ڕاپۆرتی ستۆکی مردوو
Debit,Debit,قەرز
Default,Default,بنەڕەتی
DefaultCurrency,Default Currency,دراوی پێشوەختە
DefaultCustomer,Default Customer,کڕیاری پێشوەختە
DefaultEmail,Default Email,ئیمەیڵی پێشوەختە
DefaultLanguage,Default Language,زمانی پێشوەختە
DefaultWarehouse,Default Warehouse,کۆگای پێشوەختە
Default_SMS_Gateway,Default SMS Gateway,دەروازەی کورتەنامەی پێشوەختە
Del,Delete,سڕینەوە
Delete,Delete,سڕینەوە
Deleted_in_successfully,Deleted in successfully,لە سەرکەوتوویی سڕاوەتەوە
Deleted_successfully,Deleted successfully,بە سەرکەوتوویی سڕاوەتەوە
DeletePurchase,Delete Purchase,سڕینەوەی کڕین
DeleteQuote,Delete Quotation,سڕینەوەی وەرگێڕان
DeleteReturn,Delete Return,سڕینەوەی گەڕانەوە
DeleteSale,Delete Sale,سڕینەوەی فرۆشتن
Delete_Account_Question,Are you sure you want to delete,ئایا دڵنیای کە دەتەوێت بسڕیتەوە
Delete_Account_Title,Delete Account,سڕینەوەی ئەکاونت
Delete_Account_Warning,This will permanently delete the account.,ئەمەش بۆ هەمیشە ئەو ئەکاونتە دەسڕێتەوە.
Delete_cancelButtonText,Cancel,ڕەتکردنەوە
Delete_confirmButtonText,"Yes, delete it!",بەڵێ، بیسڕەوە!
Delete_Customer,Delete Customer,سڕینەوەی کڕیار
Delete_Deleted,Deleted!,سڕاوەتەوە!
Delete_Draft_Entry_Question,Delete this draft entry?,ئەم ڕەشنووسە بسڕەوە؟
delete_employee,Delete employee,سڕینەوەی کارمەند
Delete_Failed,Delete failed.,Delete شکستی هێنا.
Delete_Provider,Delete Provider,سڕینەوەی دابینکەر
Delete_Text,You won\'t be able to revert this!,تۆ وۆن\'t ناتوانیت ئەمە بگەڕێنیتەوە!
Delete_Therewassomethingwronge,There was something wronge,شتێک هەبوو ستەم
Delete_Title,Are you sure?,ئایا دڵنیای؟
Delivered,Delivered,گەیاندی
delivered_to,Delivered To,گەیاندن بۆ
DemoVersion,You cannot do this in the demo version,ناتوانیت لە وەشانی دیمۆدا ئەم کارە بکەیت
department,Department,بەش
Departments,Departments,بەشەکانی
Department_Head,Department Head,سەرۆکی بەش
Deposits,Deposits,دانەبەزاندن
Deposits_Report,Deposits Report,ڕاپۆرتی دانەبەزاندنەکان
deposit_add,add deposit,زیادکردنی پارە
Deposit_Category,Deposit category,پۆلی دانان
deposit_delete,delete deposit,سڕینەوەی پارەی پێشەکی
deposit_edit,edit deposit,دەستکاری دانەوێڵە
deposit_view,view deposit,بینینی وەبەرهێنان
Dernièrescinqrecords,Last five records,پێنج تۆماری کۆتایی
Description,Description,وەسف
Description_Placeholder,Description,وەسف
Designation,Designation,ڕاسپاردن
Designations,Designations,دەستنیشانکردنەکان
DetailQuote,Detail Quotation,وردەکارییەکان
Details,Details,ووردەکاریەکان
developed_by,Developed by,پەرەی پێدراوە لەلایەن
Development,Development,پەرەپێدان
Difference,Difference,جیاوازی
Dimension,Dimension,ڕەهەند
Direction,Direction,ئاڕاستە
Disabled,Disabled,کەم ئەندام
DisActivateUser,This User Has been Deactivated,ئەم بەکارهێنەرە ناچالاك کراوە
Disconnect,Disconnect,پەیوەندی داببڕە
Disconnected,Disconnected,پچڕاو
Discount,Discount,داشکان
DiscountsOverTime,Discounts Over Time,داشکاندن بە تێپەڕبوونی کات
Discount_Method,Discount Type,جۆری داشکاندن
Discount_Summary_Report,Discount Summary Report,ڕاپۆرتی پوختەی داشکاندن
Display_limit,Display limit,سنووری پیشاندانی
Display_not_connecting_A,Check that the device is on the same network and use the full URL including the token.,بزانە کە ئامێرەکە لە هەمان تۆڕدایە و URL ی تەواو بە تۆکنەکەش بەکاربهێنە.
Display_not_connecting_Q,Display not connecting?,پیشاندانی پەیوەندیت نییە؟
Display_updates_automatically,Display updates automatically as items are added,نوێکاری پیشاندانی بە شێوەیەکی ئۆتۆماتیکی لەگەڵ زیادکردنی شتەکان
Display_URL,Display URL,پیشاندانی URL
Display_URL_Placeholder,Your display URL will appear here,URL ی پیشاندانی تۆ لێرە دەردەکەوێت
Documentation,Doc,دۆک
Documents,Documents,بەڵگەنامەکان
DownloadPdf,Download Pdf,داگرتنی PDF
Download_exemple,Download example,نموونەی داگرتن
Download_PDF,Download PDF,داگرتنی PDF
Draft,Draft,ڕەشنووس
Draft_Created_successfully,Draft Created successfully,ڕەشنووس دروستکرا بە سەرکەوتوویی
Draft_Invoices_Report,Draft Invoices Report,ڕەشنووسی ڕاپۆرتی فاکتورەکان
Draft_Sale_Deleted,Draft Sale Deleted,ڕەشنووسی فرۆشتن سڕاوەتەوە
Due,Due,بەهۆی
Dynamic_Appearance,Dynamic Appearance,ڕواڵەتێکی دینامیکی
"e.g. 30,60,90","e.g. 30,60,90","بۆ نموونە. 30,60,90"
Edit,Edit,بژارکردن
EditAdjustement,Edit Adjustement,دەستکاری ڕێکخستن بکە
EditCustomer,Edit Customer,دەستکاری کڕیار بکە
EditPayment,Edit Payment,دەستکاری پارەدان
EditProduct,Edit Product,دەستکاری بەرهەم
EditPurchase,Edit Purchase,دەستکاری کڕین
EditPurchaseReturn,Edit Purchase Return,دەستکاری گەڕانەوەی کڕین
EditQuote,Edit Quotation,دەستکاری وەرگێڕان
EditReturn,Edit Return,دەستکاری گەڕانەوە
EditReturnCustomer,Edit Return Customer,دەستکاری کڕیاری گەڕانەوە
EditReturnSupplier,Edit Return Supplier,دەستکاری دابینکەری گەڕانەوە
EditSale,Edit Sale,دەستکاری فرۆشتن
EditSaleReturn,Edit Sale Return,دەستکاری گەڕانەوەی فرۆشتن
EditTransfer,Edit Transfer,دەستکاری گواستنەوە
Edit_Account,Edit Account,دەستکاری ئەکاونت
